Year,County,Month,County Pop,County Pop ('000s),Violent_sum,Homicide_sum,ForRape_sum,Robbery_sum,AggAssault_sum,Property_sum,Burglary_sum,VehicleTheft_sum,LTtotal_sum
2019,Alameda County,1,1668412,1668,50,0,1,19,30,195,23,48,124
2019,Alameda County,2,1668412,1668,49,1,2,19,27,187,34,47,106
2019,Alameda County,3,1668412,1668,52,1,1,20,30,153,20,23,110
2019,Alameda County,4,1668412,1668,60,0,3,15,42,174,41,34,99
2019,Alameda County,5,1668412,1668,62,0,1,23,38,180,31,38,111
2019,Alameda County,6,1668412,1668,53,1,1,19,32,168,28,43,97
2019,Alameda County,7,1668412,1668,51,0,2,14,35,184,25,41,118
2019,Alameda County,8,1668412,1668,54,0,5,17,32,197,35,40,122
2019,Alameda County,9,1668412,1668,43,0,3,12,28,175,27,35,113
2019,Alameda County,10,1668412,1668,46,1,3,19,23,209,37,57,115
2019,Alameda County,11,1668412,1668,43,1,4,10,28,150,23,33,94
2019,Alameda County,12,1668412,1668,70,0,1,23,46,197,30,52,115
2019,Alameda County,1,1668412,1668,8,0,0,4,4,172,17,22,133
2019,Alameda County,2,1668412,1668,13,0,1,9,3,217,26,45,146
2019,Alameda County,3,1668412,1668,12,0,0,8,4,233,18,34,181
2019,Alameda County,4,1668412,1668,19,0,-1,12,8,257,14,45,198
2019,Alameda County,5,1668412,1668,16,0,0,8,8,192,12,30,150
2019,Alameda County,6,1668412,1668,15,0,2,8,5,199,10,39,150
2019,Alameda County,7,1668412,1668,13,0,0,6,7,236,30,52,154
2019,Alameda County,8,1668412,1668,17,0,1,10,6,209,16,41,152
2019,Alameda County,9,1668412,1668,11,0,0,7,4,192,15,27,150
2019,Alameda County,10,1668412,1668,14,0,1,6,7,263,21,19,223
2019,Alameda County,11,1668412,1668,13,0,2,8,3,194,13,19,162
2019,Alameda County,12,1668412,1668,11,0,1,8,2,215,26,30,159
2019,Alameda County,1,1668412,1668,5,0,1,2,2,57,8,2,47
2019,Alameda County,2,1668412,1668,3,0,0,1,2,54,8,4,42
2019,Alameda County,3,1668412,1668,3,0,1,2,0,33,6,2,25
2019,Alameda County,4,1668412,1668,3,0,1,0,2,40,9,1,30
2019,Alameda County,5,1668412,1668,3,0,0,3,0,36,5,4,27
2019,Alameda County,6,1668412,1668,6,0,1,4,1,57,12,4,41
