,year,county,month,county_pop,violent,homicide,rape,robbery,agg_assault,property,burglary,vehicle_theft,larceny_theft
0,2019,Alameda County,1,1668412,50,0,1,19,30,195,23,48,124
1,2019,Alameda County,2,1668412,49,1,2,19,27,187,34,47,106
2,2019,Alameda County,3,1668412,52,1,1,20,30,153,20,23,110
3,2019,Alameda County,4,1668412,60,0,3,15,42,174,41,34,99
4,2019,Alameda County,5,1668412,62,0,1,23,38,180,31,38,111
5,2019,Alameda County,6,1668412,53,1,1,19,32,168,28,43,97
6,2019,Alameda County,7,1668412,51,0,2,14,35,184,25,41,118
7,2019,Alameda County,8,1668412,54,0,5,17,32,197,35,40,122
8,2019,Alameda County,9,1668412,43,0,3,12,28,175,27,35,113
9,2019,Alameda County,10,1668412,46,1,3,19,23,209,37,57,115
10,2019,Alameda County,11,1668412,43,1,4,10,28,150,23,33,94
11,2019,Alameda County,12,1668412,70,0,1,23,46,197,30,52,115
12,2019,Alameda County,1,1668412,8,0,0,4,4,172,17,22,133
13,2019,Alameda County,2,1668412,13,0,1,9,3,217,26,45,146
14,2019,Alameda County,3,1668412,12,0,0,8,4,233,18,34,181
15,2019,Alameda County,5,1668412,16,0,0,8,8,192,12,30,150
16,2019,Alameda County,6,1668412,15,0,2,8,5,199,10,39,150
17,2019,Alameda County,7,1668412,13,0,0,6,7,236,30,52,154
18,2019,Alameda County,8,1668412,17,0,1,10,6,209,16,41,152
19,2019,Alameda County,9,1668412,11,0,0,7,4,192,15,27,150
20,2019,Alameda County,10,1668412,14,0,1,6,7,263,21,19,223
21,2019,Alameda County,11,1668412,13,0,2,8,3,194,13,19,162
22,2019,Alameda County,12,1668412,11,0,1,8,2,215,26,30,159
23,2019,Alameda County,1,1668412,5,0,1,2,2,57,8,2,47
24,2019,Alameda County,2,1668412,3,0,0,1,2,54,8,4,42
25,2019,Alameda County,3,1668412,3,0,1,2,0,33,6,2,25
26,2019,Alameda County,4,1668412,3,0,1,0,2,40,9,1,30
27,2019,Alameda County,5,1668412,3,0,0,3,0,36,5,4,27
28,2019,Alameda County,6,1668412,6,0,1,4,1,57,12,4,41
29,2019,Alameda County,7,1668412,4,0,1,2,1,71,14,3,54
30,2019,Alameda County,8,1668412,2,0,0,1,1,64,12,6,46
31,2019,Alameda County,9,1668412,2,0,1,1,0,75,3,10,62
32,2019,Alameda County,10,1668412,1,0,0,1,0,76,7,7,62
33,2019,Alameda County,11,1668412,3,0,1,1,1,65,6,1,58
34,2019,Alameda County,12,1668412,5,0,1,3,1,57,15,2,40
35,2019,Alameda County,1,1668412,52,0,3,33,16,561,115,37,409
36,2019,Alameda County,2,1668412,37,0,1,22,14,441,60,40,341
37,2019,Alameda County,3,1668412,43,0,3,29,11,433,80,36,317
38,2019,Alameda County,4,1668412,56,0,6,36,14,465,54,36,375
39,2019,Alameda County,5,1668412,51,0,4,35,12,437,49,41,347
40,2019,Alameda County,6,1668412,44,0,8,19,17,439,46,36,357
41,2019,Alameda County,7,1668412,53,0,8,31,14,508,70,40,398
42,2019,Alameda County,8,1668412,53,0,8,27,18,605,44,55,506
43,2019,Alameda County,9,1668412,63,0,11,38,14,576,50,60,466
44,2019,Alameda County,10,1668412,63,0,10,37,16,621,52,52,517
45,2019,Alameda County,11,1668412,48,0,5,29,14,551,76,27,448
46,2019,Alameda County,12,1668412,55,0,7,33,15,619,75,32,512
47,2019,Alameda County,1,1668412,16,0,2,10,4,217,13,12,192
48,2019,Alameda County,2,1668412,12,0,1,8,3,207,10,10,187
49,2019,Alameda County,3,1668412,24,0,1,19,4,213,10,8,195
50,2019,Alameda County,4,1668412,15,0,0,14,1,185,3,8,174
51,2019,Alameda County,5,1668412,10,0,0,7,3,190,10,9,171
52,2019,Alameda County,6,1668412,11,0,0,7,4,212,5,7,200
53,2019,Alameda County,7,1668412,13,0,1,5,7,236,7,11,218
54,2019,Alameda County,8,1668412,15,0,1,10,4,209,4,8,197
55,2019,Alameda County,9,1668412,17,0,1,15,1,216,10,10,196
56,2019,Alameda County,10,1668412,13,0,0,11,2,288,9,15,264
57,2019,Alameda County,11,1668412,9,0,1,5,3,179,8,13,158
58,2019,Alameda County,12,1668412,11,0,4,3,4,271,6,2,263
59,2019,Alameda County,1,1668412,29,0,2,12,15,478,38,57,383
60,2019,Alameda County,2,1668412,21,0,2,12,7,405,46,40,319
61,2019,Alameda County,3,1668412,34,0,3,18,13,315,44,39,232
62,2019,Alameda County,4,1668412,38,0,3,15,20,353,49,46,258
63,2019,Alameda County,5,1668412,47,1,3,12,31,414,46,66,302
64,2019,Alameda County,6,1668412,29,0,0,13,16,345,35,53,257
65,2019,Alameda County,7,1668412,35,0,4,17,14,367,38,40,289
66,2019,Alameda County,8,1668412,38,0,6,15,17,334,37,52,245
67,2019,Alameda County,9,1668412,33,0,1,13,19,331,51,47,233
68,2019,Alameda County,10,1668412,37,0,5,11,21,424,46,55,323
69,2019,Alameda County,11,1668412,33,0,4,10,19,342,54,27,261
70,2019,Alameda County,12,1668412,26,0,3,11,12,415,63,46,306
71,2019,Alameda County,1,1668412,41,2,3,19,17,417,39,111,267
72,2019,Alameda County,2,1668412,39,0,5,24,10,406,51,110,245
73,2019,Alameda County,3,1668412,35,0,3,18,14,419,39,86,294
74,2019,Alameda County,4,1668412,58,0,6,24,28,397,43,93,261
75,2019,Alameda County,5,1668412,45,0,8,21,16,406,35,113,258
76,2019,Alameda County,6,1668412,47,1,3,22,21,340,30,107,203
77,2019,Alameda County,7,1668412,51,0,5,28,18,438,42,102,294
78,2019,Alameda County,8,1668412,53,0,4,26,23,363,25,92,246
79,2019,Alameda County,9,1668412,57,0,5,27,25,398,40,83,275
80,2019,Alameda County,10,1668412,40,0,5,17,18,460,38,117,305
81,2019,Alameda County,11,1668412,46,0,6,28,12,428,36,121,271
82,2019,Alameda County,12,1668412,40,2,1,21,16,414,30,106,278
83,2019,Alameda County,1,1668412,16,0,5,3,8,113,12,8,93
84,2019,Alameda County,2,1668412,23,0,3,2,18,167,12,14,141
85,2019,Alameda County,3,1668412,24,0,0,5,19,146,15,7,124
86,2019,Alameda County,4,1668412,9,0,3,3,3,133,16,17,100
87,2019,Alameda County,5,1668412,19,0,4,5,10,103,14,11,78
88,2019,Alameda County,6,1668412,22,0,6,3,13,130,16,9,105
89,2019,Alameda County,7,1668412,14,1,1,2,10,163,9,10,144
